title,release_date,tagline
Trade,1/23/07,"Each year, more than 1,000,000 people are trafficked across international borders... against their will."
Fateless,2/10/05,You can close your eyes. You can turn away. But you will never forget.
Breakfast of Champions,2/13/99,
"A Woman, a Gun and a Noodle Shop",12/11/09,
Cypher,10/1/02,Never forget who you are
City of Life and Death,4/22/09,
Legend of a Rabbit,1/1/11,From zero to hero.
Space Battleship Yamato,12/1/10,
5 Days of War,4/14/11,Their only weapon is the truth.
Triangle,10/16/09,A Passage to Hell
10 Days in a Madhouse,11/20/15,
Heaven is for Real,4/16/14,Unlock the mystery
Snatch,9/1/00,Stealin' Stones and Breakin' Bones.
Dancin' It's On,10/16/15,Dancin' Like You've Never Seen Before
Pet Sematary,4/21/89,Sometimes dead is better.
Madadayo,4/17/93,
The Cry of the Owl,2/7/09,What would you do if someone was watching you?
A Tale of Three Cities,8/28/15,
Gremlins,6/7/84,"Don't get him wet, keep him out of bright light, and never feed him after midnight."
Star Wars,5/25/77,"A long time ago in a galaxy far, far away..."
Dirty Grandpa,1/21/16,This is Jason. He's a little worried about his grandpa.
Doctor Zhivago,12/22/65,"Turbulent were the times and fiery was the love story of Zhivago, his wife and the passionate, tender Lara."
Trash,10/9/14,You never know what you might find
High School Musical 3: Senior Year,10/22/08,
The Fighter,12/17/10,Every dream deserves a fighting chance.
Jackass Number Two,9/22/06,Guess who just made number two?
My Cousin Vinny,3/13/92,"Truth, Justice and the Gambini Way"
If I Stay,8/21/14,Live for Love.
Drive Hard,5/26/14,One Hell of A Ride
Major League,2/16/89,A comedy with bats and balls.
St. Trinian's,12/21/07,Taking higher education to a new low.
Phone Booth,9/9/02,No options. No lies. No fear. No deals. Just keep talking.
A Walk to Remember,1/25/02,She didn't belong. She was misunderstood. And she would change him forever.
Dead Man Walking,12/29/95,
Cruel Intentions,3/5/99,"In the game of seduction, There is only one rule: Never fall in love."
Saw VI,10/22/09,The Game Has Come Full Circle
History of the World: Part I,6/12/81,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!"
The Secret Life of Bees,9/17/08,"Bring Your Girlfriends, Sisters, Mothers and Daughters."
Corky Romano,10/12/01,Undercover and Out The Way!
Raising Cain,8/7/92,Demented. Deranged. Deceptive. De Palma.
F.I.S.T.,4/26/78,
Invaders from Mars,1/1/86,Their conquest has already begun... He know they're here.
Brooklyn,10/20/15,"Two countries, two loves, one heart"
Barry Lyndon,12/18/75,At long last Redmond Barry became a gentleman - and that was his tragedy.
Out Cold,11/21/01,"They haven't quite figured it all out, but they're getting a little warmer."
The Ladies Man,10/13/00,He's cool. He's clean. He's a love machine.
Quartet,9/8/12,Four Friends Looking For A Little Harmony
Tomcats,3/30/01,The Last Man Standing Gets The Kitty.
Frailty,11/17/01,No Soul Is Safe.
Woman in Gold,4/10/15,Justice is priceless.
Kinsey,9/4/04,Let's talk about sex
Army of Darkness,10/9/92,Trapped in time. Surrounded by evil. Low on gas.
Slackers,2/1/02,When all else fails... cheat.
What's Eating Gilbert Grape,12/17/93,A film about the love you find...In the last place you look.
The Visual Bible: The Gospel of John,9/11/03,For God loved the world So much...
Vera Drake,10/22/04,Wife. Mother. Criminal.
The Guru,8/21/02,"When he talks, women listen."
The Perez Family,5/12/95,"On the way to finding a family, she found love."
Inside Llewyn Davis,10/6/13,
O,8/31/01,Trust. Seduction. Betrayal.
Return to the Blue Lagoon,8/2/91,"Return to the Romance, Return to the Adventure..."
The Molly Maguires,1/27/70,
Romance & Cigarettes,9/13/05,
Copying Beethoven,9/10/06,
Brighton Rock,9/13/10,Love. Murder. Revenge.
Saw V,10/23/08,You Won't Believe How It Ends
Machine Gun McCain,4/1/69,Even the Mafia Calls Him Mister!
LOL,2/10/12,"You can change your status, but not your heart."
Jindabyne,7/20/06,Under the surface of every life lies a mystery
Kabhi Alvida Naa Kehna,8/11/06,A Love.... That Broke All Relationships
An Ideal Husband,4/15/99,He just doesn't know it yet.
The Last Days on Mars,8/11/13,The search for life is about to end.
Darkness,10/2/02,A house. A past. A secret. Will you dare enter?
2001: A Space Odyssey,4/10/68,An epic drama of adventure and exploration
E.T. the Extra-Terrestrial,4/3/82,He is afraid. He is alone. He is three million light years from home.
In the Land of Women,4/16/07,Get ready to fall
The Blue Butterfly,2/20/04,
There Goes My Baby,9/2/94,
Housefull,4/30/10,"He found the girl of his dreams, he fell in love and he got married... to all three."
September Dawn,5/17/07,
For Greater Glory - The True Story of Cristiada,6/1/12,The True Story of Cristiada
The Bélier Family,12/17/14,
Good Will Hunting,12/5/97,"Some people can never believe in themselves, until someone believes in them."
Misconduct,2/5/16,Ambition can be deadly
Saw III,10/27/06,Suffering? You Haven't Seen Anything Yet...
Stripes,6/25/81,The story of a man who wanted to keep the world safe for democracy...and meet girls.
Bring It On,8/25/00,May the best moves win.
The Purge: Election Year,6/29/16,Keep America great
She's All That,1/29/99,These two opposites attract... but EVERYONE'S trying to keep them apart!
Saw IV,10/25/07,You think it is over...but the games have just begun
White Noise,1/7/05,The line separating the living from the dead has been crossed.
Madea's Family Reunion,2/24/06,
The Color of Money,10/7/86,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.
The Longest Day,9/25/62,This is the day that changed the world... When history held its breath.
The Mighty Ducks,10/1/92,They can't skate. They can't win. They can't be serious.
The Grudge,10/22/04,It never forgives. It never forgets.
Happy Gilmore,2/16/96,He doesn't play golf... he destroys it.
Jeepers Creepers,7/1/01,What’s eating you?
Bill & Ted's Excellent Adventure,2/17/89,History is about to be rewritten by two guys who can't spell.
Oliver!,9/26/68,Much Much More Than a Musical!
The Best Exotic Marigold Hotel,11/28/11,Share the journey. Share the laughter.
Recess: School's Out,1/27/01,Saving The World One Playground At A Time
Mad Max Beyond Thunderdome,6/29/85,Two men enter. One man leaves.
Commando,10/3/85,Somewhere... somehow... someone's going to pay.
The Boy,1/22/16,Every child needs to feel loved.
Devil,1/13/10,Bad Things Happen For A Reason
Friday After Next,11/22/02,The party's back in the 'hood!
Insidious: Chapter 3,6/4/15,This is how you die
The Last Dragon,3/22/85,His family thinks he's crazy. His enemies think he's no challenge. But she knows he's THE LAST DRAGON.
The Lawnmower Man,3/5/92,God made him simple. Science made him a god.
Nick and Norah's Infinite Playlist,10/3/08,Every night has a soundtrack.
Dogma,11/12/99,It can be Hell getting into Heaven
The Banger Sisters,9/20/02,Some friendships last forever... like it or not.
Twilight Zone: The Movie,6/24/83,"You're travelling through another dimension. A dimension, not only of sight and sound, but of mind. A journey into a wondrous land whose boundaries are that of imagination. Next stop, the Twilight Zone!"
Road House,5/19/89,"Dalton lives like a loner, fights like a professional. And loves like there's no tomorrow."
A Low Down Dirty Shame,11/23/94,He's armed and dangerously funny.
Swimfan,9/6/02,His biggest fan just became his worst nightmare.
Employee of the Month,10/6/06,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work"
Can't Hardly Wait,6/12/98,Yesterday's history.  Tomorrow's the future.  Tonight's the party.
The Outsiders,3/25/83,They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.
Pete's Dragon,8/10/16,Some secrets are too big to keep.
The Dead Zone,10/21/83,"In his mind, he has the power to see the future. In his hands, he has the power to change it."
Sinister 2,8/19/15,"Be careful, children at play."
Sparkle,8/17/12,Celebrate the legend.
Valentine,2/1/01,Remember that kid everyone ignored on Valentine’s Day? - He remembers you.
The Fourth Kind,11/6/09,There are four kinds of alien encounters. The fourth kind is abduction.
A Prairie Home Companion,6/9/06,Radio Like You've Never Seen It Before
Sugar Hill,2/25/94,He wanted power. He wanted revenge. Now he just wants out.
Invasion U.S.A.,9/27/85,America wasn't ready...but HE was!
Roll Bounce,9/23/05,
Rushmore,9/17/98,Love. Expulsion. Revolution.
Skyline,11/11/10,Don't look up
The Second Best Exotic Marigold Hotel,2/26/15,
Kit Kittredge: An American Girl,7/2/08,"Kit Kittredge, a resourceful young girl, helps her mother run a boardinghouse after her father loses his job."
The Perfect Man,6/17/05,Is it all too good to be true?
Mo' Better Blues,8/3/90,
Kung Pow: Enter the Fist,1/25/02,
Tremors,1/19/90,The monster movie that breaks new ground.
Wrong Turn,5/30/03,It's the last one you'll ever take.
The Long Riders,5/12/80,"""All the world likes an outlaw. For some damn reason they remember 'em."" - Jesse James"
The Corruptor,3/12/99,You can't play by the rules if there aren't any.
Mud,5/1/13,
Reno 911!: Miami,2/23/07,"In a time of crisis, America will call Reno 911!"
One Direction: This Is Us,8/28/13,A motion picture event.
"The Goods: Live Hard, Sell Hard",8/14/09,
Hey Arnold! The Movie,6/28/02,A Big Problem Calls For a Big Head
My Week with Marilyn,10/17/11,
The Matador,5/12/05,A hitman and a salesman walk into a bar...
Love Jones,3/14/97,Get Together. Fall Apart. Start Over.
The Gift,7/30/15,Not every gift is welcome.
End of the Spear,12/2/05,
Get Over It,3/8/01,"Young, Free And Single. Again."
Office Space,2/19/99,Work sucks.
Drop Dead Gorgeous,7/23/99,The battle between the good and the bad is bound to get ugly.
Big Eyes,12/24/14,She created it. He sold it. And they bought it.
Very Bad Things,9/11/98,They've been bad. Very bad.
Sleepover,7/9/04,The rules are set. The game is on.
Body Double,10/25/84,You can't believe everything you see.
MacGruber,5/21/10,He's the ultimate tool.
Dirty Pretty Things,9/5/02,Every dream has its price.
Movie 43,1/1/13,The biggest cast ever assembled for the most outrageous comedy ever made.
Over Her Dead Body,2/1/08,She's passed on... But she's not moving on.
Seeking a Friend for the End of the World,6/22/12,Nice knowing you.
Cedar Rapids,2/11/11,Today is the first day... of the rest of his weekend.
American History X,10/30/98,Some Legacies Must End.
The Collection,9/21/12,Every great collector has a vision.
Teacher's Pet,1/16/04,A musical tail about one dog's dream of becoming a boy
The Red Violin,9/10/98,
The Straight Story,10/15/99,
Deuces Wild,5/3/02,Some lines should never be crossed.
Bad Words,9/6/13,The end justifies the means
"Run, Fatboy, Run",9/6/07,Love. Commitment. Responsibility. There's nothing he won't run away from.
Heartbeeps,12/18/81,Meet a modern nuclear family unlike any other.
Black or White,9/6/14,There's more to family than what you see.
On the Line,10/26/01,
Rescue Dawn,9/9/06,A true story of survival... declassified.
Danny Collins,3/19/15,A letter from John Lennon changed his life
"Jeff, Who Lives at Home",9/13/11,The first step to finding your destiny is leaving your mother's basement.
I Am Love,9/5/09,
Atlas Shrugged Part II,10/12/12,Who is John Galt?
Romeo Is Bleeding,9/13/93,The story of a cop who wanted it bad and got it worse.
The Limey,5/15/99,Vengeance knows no boundaries.
Crash,1/13/04,You think you know who you are. You have no idea.
The House of Mirth,9/23/00,When a woman has the beauty men admire and women envy...it is wise to tread carefully.
Malone,5/1/87,"Ex-Cop, Ex-CIA, Explosive"
Peaceful Warrior,3/30/06,There are no ordinary moments.
Bucky Larson: Born to Be a Star,9/9/11,There Are No Small Actors. Just Small Parts.
Bamboozled,10/6/00,
The Forest,1/7/16,Everyone comes here looking for a way out
Sphinx,2/11/81,Someone is hunting tourists out of season.
While We're Young,4/3/15,Life Never Gets Old.
A Better Life,6/24/11,Every father wants more for his son.
Spider,12/13/02,The only thing worse than losing your mind... is finding it again.
Gun Shy,2/4/00,The Agency's best has a bad case of nerves.
Nicholas Nickleby,12/27/02,
The Iceman,9/1/12,Loving husband. Devoted father. Ruthless killer.
Krrish,6/23/06,
Cecil B. Demented,5/17/00,Demented Forever!
Killer Joe,9/10/11,A Totally Deep-Fried Texas Redneck Trailer Park Murder Story.
The Joneses,9/13/09,"They're not just living the American dream, they're selling it."
Owning Mahowny,5/2/03,To some it's a game. To others it's a habit. But to Dan Mahowny -- beating the odds is everything
The Brothers Solomon,9/7/07,They want to put a baby in you.
My Blueberry Nights,5/16/07,How do you say goodbye to someone you can't imagine living without?
Illuminata,5/21/98,
Swept Away,10/11/02,A snooty socialite is stranded on a Mediterranean island with a communist sailor.
"War, Inc.",4/28/08,When it comes to war... America means business
Shaolin Soccer,7/12/01,Get ready to kick some grass!
The Brown Bunny,8/27/04,"I'm not going to be okay, Bud."
The Swindle,10/15/97,
Rosewater,11/7/14,
The Chambermaid on the Titanic,10/10/97,
Coriolanus,2/14/11,Nature teaches beasts to know their friends.
Imaginary Heroes,9/14/04,People are never who they seem to be.
High Heels and Low Lifes,7/16/01,They're not bad girls. They're just behaving that way.
World's Greatest Dad,8/20/09,Lance Clayton is about to get everything he deserves.
Severance,5/19/06,The Company Is Making Cutbacks
Edmond,8/31/05,Every fear hides a wish.
Welcome to the Rileys,10/29/10,
Police Academy: Mission to Moscow,6/9/94,"Just when we thought the Cold War was over, leave it to these guys to heat it up again."
Blood Done Sign My Name,2/1/10,No one changes the world alone.
Cinco de Mayo: La Batalla,5/3/13,
Elsa & Fred,3/7/14,It's never too late.
"An Alan Smithee Film: Burn, Hollywood, Burn",2/20/98,
The Open Road,2/7/09,They've got a long way to go
The Good Guy,4/25/09,
Motherhood,1/21/09,
Free Style,12/24/08,It's Time To Soar.
Strangerland,7/1/15,To find the truth they must lose themselves.
Janky Promoters,10/16/09,
Blonde Ambition,12/21/07,Small-town girl. Big-time dreams.
The Oxford Murders,1/18/08,There is no way of finding a single absolute truth
The Reef,5/15/10,Pray That You Drown First
Eulogy,10/15/04,
White Noise 2: The Light,1/5/07,Sometimes they don't come back alone.
Beat the World,6/10/11,"Feel the beat, live the dream."
Fifty Dead Men Walking,9/10/08,
Jungle Shuffle,8/7/14,
Adam Resurrected,8/8/08,
Of Horses and Men,8/30/13,
It's a Wonderful Afterlife,5/7/10,Finding the right man can be murder
The Devil's Tomb,5/26/09,An evil entombed for 2000 years... until now.
Partition,2/2/07,
Good Intentions,3/9/10,
"The Good, The Bad, The Weird",7/16/08,A Fistful of Fun!
Nurse 3-D,9/28/13,Your pain is her pleasure.
Gunless,4/30/10,Fastest draw in the North... kinda.
Adventureland,4/3/09,Nothing brings people together like a crappy summer job.
The Lost City,9/3/05,
Next Friday,1/12/00,The suburbs make the hood look good.
American Heist,9/11/14,Brothers in arms for life.
You Only Live Twice,6/12/67,You Only Live Twice...and Twice is the only way to live!
Plastic,4/30/14,HUSTLE. HEIST. REPEAT.
Amour,7/1/12,
Poltergeist III,6/10/88,He's found her.
Re-Kill,10/16/15,We are the endangered species.
"It's a Mad, Mad, Mad, Mad World",11/7/63,The biggest entertainment ever to rock the screen with laughter!
Volver,3/16/06,Return.
Heavy Metal,8/7/81,A Step Beyond Science Fiction
Gentlemen Broncos,9/30/09,"Oinus, Ainous, Anous, Odious."
Richard III,12/29/95,"I can smile, and murder while I smile"
Into the Grizzly Maze,2/27/15,Hunt or be hunted.
Kites,5/21/10,
Melancholia,5/26/11,Enjoy it while it lasts
Red Dog,8/4/11,He's Been Everywhere Mate.
Jab Tak Hai Jaan,11/13/12,
Alien,5/25/79,In space no one can hear you scream.
The Texas Chain Saw Massacre,10/1/74,Who will survive and what will be left of them?
The Runaways,3/19/10,It's 1975 and they're about to explode.
Fiddler on the Roof,11/3/71,To Life!
Thunderball,12/16/65,Look up!  Look down!  Look out!
Detention,3/16/11,Cancel Your Future
Loose Cannons,2/12/10,
Set It Off,11/6/96,It's about crime. It's about payback. It's about survival.
The Best Man,10/22/99,
Child's Play,11/8/88,Chucky is one mean S.O.B.
Sicko,5/18/07,This might hurt a little.
The Purge: Anarchy,7/17/14,"Welcome to America, where one night a year, all crime Is legal."
Down to You,1/21/00,A new comedy about giving first love a second chance.
Harold & Kumar Go to White Castle,5/30/04,Fast Food. High Times.
The Contender,10/13/00,Sometimes you can assassinate a leader without firing a shot.
Boiler Room,2/18/00,Welcome to the new American dream.
Trading Places,6/7/83,Some very funny business.
Black Christmas,12/25/06,"This holiday season, the slay ride begins."
Breakin' All the Rules,5/14/04,When it comes to getting dumped... He wrote the book.
Henry V,10/5/89,The great adventure of a king who defied the odds to prove himself a man.
The Savages,1/19/07,
Chasing Papi,4/16/03,Three women. Three cities. Three times the trouble.
The Way of the Gun,9/8/00,
Igby Goes Down,9/13/02,Insanity is relative.
PCU,4/29/94,Flunk 'em if they can't take a joke.
The Ultimate Gift,10/20/06,
The Ice Pirates,3/16/84,A totally SPACED adventure! ...You have to be there to see it.
Gracie,6/1/07,
Trust the Man,9/1/05,Men play the game. Women know the score.
Hamlet 2,1/21/08,One high school drama teacher is about to make a huge number 2.
Velvet Goldmine,10/23/98,Style matters. Even when it comes to murder.
The Wailing,5/12/16,Never be tempted.
Glee: The Concert Movie,8/11/11,
The Legend of Suriyothai,8/17/01,
Two Evil Eyes,1/25/90,When I wake you... you'll be dead
Barbecue,4/30/14,
All or Nothing,5/17/02,
Princess Kaiulani,5/14/10,Her heart was torn between love and the future of Hawaii...
Opal Dream,11/22/06,
Flame & Citron,3/25/08,
Undiscovered,8/26/05,They Know Each Other By Heart.
Red Riding: In the Year of Our Lord 1974,2/28/09,"An epic tale of murder, corruption and obsession."
The Girl on the Train,3/18/09,
Veronika Decides to Die,5/16/09,"For Veronika, confronting death... is discovering life."
Crocodile Dundee,9/26/86,There's a little of him in all of us.
"Ultramarines: A Warhammer 40,000 Movie",12/10/10,In the grim darkness of the far future there is only war
The I Inside,1/15/04,His story began when it all ended
Beneath Hill 60,4/15/10,BENEATH HILL 60 featuring Captain Woodward MC commanding the Australian Hill 60 Tunnelers of World War 1
Polisse,10/6/11,
Awake,11/28/07,"Every year, one in 700 people wake up during surgery."
Star Wars: Clone Wars: Volume 1,3/21/05,
Skin Trade,11/7/14,Two Cops. One Mission. No Mercy.
The Lost Boys,7/31/87,Sleep all day. Party all night. Never grow old. Never die. It's fun to be a vampire.
Crazy Heart,12/16/09,"The harder the life, the sweeter the song."
The Rose,11/7/79,"She gave and gave, until she had nothing left to give"
Baggage Claim,9/27/13,She's done flying solo.
Barbarella,10/10/68,See Barbarella do her thing!
Shipwrecked,10/3/90,
Election,4/23/99,Reading. Writing. Revenge.
The Namesake,9/2/06,Two Worlds. One Journey.
The DUFF,2/20/15,"You either know one, you have one, or you are one."
Glitter,9/21/01,"In music she found her dream, her love, herself."
The Haunting in Connecticut 2: Ghosts of Georgia,2/1/13,
Silmido,12/24/03,
Bright Star,11/5/09,First love burns brightest.
My Name Is Khan,2/12/10,I am Muslim and i am not a terrorist
All Is Lost,10/18/13,Never give up.
Limbo,6/4/99,The Only Thing More Dangerous Than Death... Is Survival.
Namastey London,3/27/07,
The Wind That Shakes the Barley,5/18/06,Winner of the PALME D'OR at the 2006 Cannes Film Festival.
Yeh Jawaani Hai Deewani,5/31/13,
Quo Vadis,11/8/51,THIS IS THE BIG ONE! The splendor and savagery of the world's wickedest empire! Three hours of spectacle you'll remember for a lifetime!
Repo! The Genetic Opera,7/18/08,Not Your Parent's Opera
Valley of the Wolves: Iraq,2/3/06,Some Men Are Born to be Heroes
Pulp Fiction,10/8/94,Just because you are a character doesn't mean you have character.
The Muppet Movie,5/31/79,More entertaining than humanly possible.
Nightcrawler,10/23/14,The city shines brightest at night
Club Dread,2/27/04,A vacation to die for
The Sound of Music,3/2/65,The happiest sound in all the world!
Splash,3/9/84,Allen Bauer Thought He'd Never Find The Right Woman... He Was Only Half Wrong!
Little Miss Sunshine,7/26/06,A family on the verge of a breakdown
Stand by Me,8/22/86,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
28 Days Later,10/31/02,His fear began when he woke up alone. His terror began when he realised he wasn't.
You Got Served,1/30/04,"If you want respect, you've got to take it."
Escape from Alcatraz,6/22/79,No one has ever escaped from Alcatraz...and no one ever will!
Brown Sugar,10/5/02,When did you first fall in love with hip-hop?
A Thin Line Between Love and Hate,4/4/96,"When you play, you pay."
50/50,9/30/11,It takes a pair to beat the odds.
Shutter,3/21/08,The most terrifying images are the ones that are real.
That Awkward Moment,1/29/14,When you realize getting some means wanting more.
Modern Problems,12/25/81,
Kicks,9/9/16,They aren't just shoes
Much Ado About Nothing,5/7/93,Romance. Mischief. Seduction. Revenge. Remarkable.
On Her Majesty's Secret Service,12/12/69,Far up! Far out! Far more! James Bond 007 is back!
New Nightmare,10/13/94,"One, Two, Freddy's coming for you..."
Drive Me Crazy,10/1/99,The last guy she wants is the only one she needs.
Akeelah and the Bee,4/28/06,Changing the world... one word at a time.
Half Baked,1/16/98,They'll do anything to save their best bud.
New in Town,1/30/09,She's an executive on the move. But her career is taking her a little farther than she expected.
American Psycho,4/13/00,I think my mask of sanity is about to slip.
The Good Girl,1/12/02,It's her last best chance... is she going to take it?
Bon Cop Bad Cop,7/6/06,Shoot First Translate Later
The Boondock Saints II: All Saints Day,11/24/09,The Saints Are Calling
The City of Your Final Destination,3/21/09,
Enough Said,9/18/13,
Easy A,9/10/10,The rumour-filled totally false account of how I ruined my flawless reputation.
The Inkwell,4/22/94,Summer's Never Been So Much Fun!
Shadow of the Vampire,5/15/00,An Unspeakable Horror. A Creative Genius. Captured For Eternity.
Prom,4/29/11,"There are hundreds of nights in high school, but there’s only one prom."
The Pallbearer,5/3/96,Something magical is about to unfold in the most unexpected place.
Held Up,10/8/99,
Woman on Top,9/22/00,Want to know how she got there?
Howards End,3/13/92,
Anomalisa,12/30/15,
Another Year,11/5/10,
8 Women,1/8/02,Living in a house full of women can be murder.
Showdown in Little Tokyo,8/23/91,One's a warrior. One's a wise guy. They're two L.A. cops going after a gang of drug lords. Feet first.
Clay Pigeons,9/25/98,"Some killers are strange, some are deranged, and some are just plain psycho."
It's Kind of a Funny Story,7/6/10,Sometimes what's in your head isn't as crazy as you think.
Made in Dagenham,9/11/10,"In the fight for equal rights, an ordinary woman achieves something extraordinary."
When Did You Last See Your Father?,10/5/07,Between every father and his son there is a story to be told.
Prefontaine,1/24/97,He beat the odds... And became a legend!
The Wicked Lady,4/21/83,"She seduced, robbed and murdered...That was on her good days."
The Secret of Kells,2/9/09,Turn the darkness into light
Begin Again,9/7/13,You're only as strong as your next move.
Down in the Valley,5/13/05,Sometimes it's hard to find your way.
Brooklyn Rules,4/30/07,Not made to be broken
Restless,12/7/12,
The Singing Detective,10/24/03,"When it comes to murder, seduction and betrayal he wrote the book. Now he's living it!"
The Land Girls,9/25/98,The story of three young women and the events that would change their lives... The friendships that would stay with them forever... and the loves that would change their hearts.
Fido,9/7/06,Good dead are hard to find
The Wendell Baker Story,8/3/05,
Wild Target,6/17/10,They said 'Take her out'. He got the wrong idea.
Pathology,4/11/08,No body is safe.
Wuthering Heights,1/18/09,
10th & Wolf,2/19/06,"The Intersection Where Family, Honor and Betrayal Collide."
Dear Wendy,1/22/05,One shot is all it takes.
Aloft,2/12/14,
Akira,7/16/88,Neo-Tokyo is about to E.X.P.L.O.D.E.
The Death and Life of Bobby Z,7/23/07,"To live a life of his own, he has to die first."
The Rocket: The Legend of Rocket Richard,10/25/05,
Swelter,4/20/14,Greed. Revenge. Redemption.
My Lucky Star,9/17/13,
Imagine Me & You,2/1/05,There goes the bride.
Mr. Church,9/16/16,He was the one person she could always count on.
Swimming Pool,5/18/03,"On the surface, all is calm"
Green Street Hooligans: Underground,1/1/13,
The Blood of Heroes,10/19/89,When juggers play there is only one way to live - THE HARD WAY!
Code of Honor,5/6/16,There is no honor in revenge.
Driving Miss Daisy,12/13/89,"The funny, touching and totally irresistible story of a working relationship that became a 25-year friendship."
Soul Food,9/26/97,There's Plenty For Everyone!
Rumble in the Bronx,1/30/95,No Fear. No Stuntman. No Equal.
Far from Men,8/30/14,
Thank You for Smoking,9/5/05,Tobacco lobbyist Nick Naylor is trying to SAVE YOUR ASH!
Hostel: Part II,6/8/07,Americans...they have no imagination.
An Education,10/29/09,An education isn't always by the book.
Shopgirl,10/21/05,
The Hotel New Hampshire,3/9/84,"If you experienced ""The World According To Garp"" and found it witty, delightful and totally unpredictable, then be happily surprised all over again when you join the fun and games that go on at the...Hotel New Hampshire."
Narc,1/14/02,
Men with Brooms,9/20/02,
Witless Protection,2/22/08,Protecting America's assets.
The Work and the Glory,11/24/04,One Man....A Remarkable Vision; One Family....A Desperate Struggle
Extract,9/3/09,Sticking it to the man has never looked so good.
Masked and Anonymous,8/8/03,Would you reach out your hand to save a drowning man if you thought he might pull you in?
Betty Fisher and Other Stories,9/1/01,Crimes of passion are not always between lovers.
Code 46,9/2/03,How do you solve a crime when the last thing you want to know is the truth?
Outside Bet,4/27/12,
Albert Nobbs,12/21/11,A man with a secret. A woman with a dream.
Black November,12/7/12,Blood Will Be Spilled
Ta Ra Rum Pum,4/27/07,
Persepolis,5/23/07,
The Hole,9/9/09,What Are You So Afraid Of?
The Wave,3/11/08,Evil is something that you learn
The Neon Demon,6/8/16,Beauty is vicious.
Harry Brown,11/11/09,Every man has a breaking point.
The Omega Code,10/15/99,
Juno,12/5/07,A comedy about growing up... and the bumps along the way.
Pound of Flesh,5/7/15,The black market is about to get bloody
Diamonds Are Forever,12/13/71,The man who made 007 a household number
The Godfather,3/14/72,An offer you can't refuse.
Flashdance,4/14/83,When the dancer becomes the dance.
(500) Days of Summer,7/17/09,It was almost like falling in love.
The Piano,5/19/93,
Magic Mike,6/28/12,Work all day. Work it all night.
Darkness Falls,1/24/03,Evil rises.
Live and Let Die,7/5/73,Roger Moore is James Bond.
My Dog Skip,1/14/00,Every family needs an optimist.
"Definitely, Maybe",2/8/08,Three relationships. Three disasters. One last chance.
Jumping the Broom,5/6/11,Sometimes the only way to get past family drama... is to jump right over it.
"Good Night, and Good Luck.",9/16/05,They took on the Government with nothing but the truth.
Capote,9/30/05,In Cold Blood
Desperado,8/25/95,"When the smoke clears, it just means he's reloading."
Logan's Run,6/23/76,The only thing you can't have in Logan's world is your 30th birthday. Unless you run away.
The Man with the Golden Gun,12/1/74,The man with the golden gun is ready to assassinate James Bond.
Action Jackson,2/12/88,It's Time For
The Descent,7/8/05,Scream your last breath.
Michael Jordan to the Max,5/5/00,Up close some heroes get even bigger.
Devil's Due,1/8/14,The Devil Always Gets His Due
Flirting with Disaster,3/22/96,"A comedy about sex, love, family and other accidents waiting to happen."
The Devil's Rejects,7/22/05,Death walks behind. Hell waits ahead.
Dope,6/19/15,It's hard out here for a geek.
In Too Deep,8/25/99,
House of 1000 Corpses,4/11/03,You'll never get out alive.
Alien Zone,11/22/78,Don't you dare go in there!
A Serious Man,10/2/09,...seriously!
Get Low,1/22/10,Every secret dies somewhere.
Warlock,6/1/89,Satan also has one son.
Beyond the Lights,9/10/14,"Open your heart, find your voice."
A Single Man,10/19/09,
The Last Temptation of Christ,8/12/88,
Outside Providence,8/16/99,Tim's getting a future... whether he likes it or not!
Bride & Prejudice,2/11/04,Bollywood meets Hollywood... And it's a perfect match
Rabbit-Proof Fence,2/4/02,"Follow Your Heart, Follow The Fence"
Who's Your Caddy?,7/27/07,
Split Second,5/1/92,He's seen the future. Now he has to kill it.
The Other Side of Heaven,4/12/01,An Epic Journey.
Veer-Zaara,11/12/04,A Love Legend
Redbelt,4/7/08,There's always a way out. You just have to find it.
Cyrus,6/18/10,John met the woman of his dreams. Then he met her son ...
A Dog Of Flanders,8/27/99,
Auto Focus,10/18/02,A day without sex is a day wasted.
Factory Girl,12/29/06,"When Andy met Edie, life imitated art."
We Need to Talk About Kevin,9/28/11,
The Christmas Candle,11/22/13,Believe the Miracle
The Mighty Macs,10/21/09,
Losin' It,4/8/83,The last word about the first time.
Mother and Child,11/7/09,
March or Die,9/8/77,
The Visitors,1/27/93,They Weren't Born Yesterday!
Somewhere,9/3/10,
I Hope They Serve Beer in Hell,9/25/09,
Chairman of the Board,3/13/98,Work sucks!
Hesher,1/22/10,Sometimes life gives you the finger and sometimes it gives you...
Dom Hemingway,11/15/13,I want my money plus interest.... and a present
Gerry,1/12/02,
The Heart of Me,1/1/02,
Freeheld,10/2/15,A true story of love and injustice.
The Extra Man,8/1/10,"They're not gigolos, they're gentlemen."
Hard to Be a God,2/27/13,
Ca$h,1/1/10,
Wah-Wah,8/17/05,Every family has its own language
The Boondock Saints,1/22/99,Thy Kingdom Come. Thy Will Be Done.
Z Storm,6/19/14,
