title,release_date,tagline
Bedazzled,10/19/00,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.
The Cotton Club,12/14/84,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.
3:10 to Yuma,9/6/07,Time waits for one man.
Taken 3,12/16/14,It Ends Here
Out of Sight,6/26/98,Opposites attract.
The Cable Guy,6/10/96,There's no such thing as free cable.
Earth,9/16/98,
Dick Tracy,6/15/90,Their turf. Their game. Their rules. They didn't count on HIS law...
The Thomas Crown Affair,8/6/99,How do you get the man who has everything?
Riding in Cars with Boys,10/19/01,One day can make your life; one day can ruin your life. All life is is four or five big days that change everything.
First Blood,10/22/82,This time he's fighting for his life.
Solaris,3/20/72,
Happily N'Ever After,9/14/06,Fairy Tale Endings Aren't What They Used To Be
Mary Reilly,2/23/96,The untold story of Jekyll and Hyde
My Best Friend's Wedding,6/19/97,It's about finding the love of your life. And deciding what to do about it.
America's Sweethearts,7/17/01,Hollywood's hottest couple just split up. It'll take more than special effects to reunite them.
Insomnia,5/24/02,A tough cop. A brilliant killer. An unspeakable crime.
Star Trek: First Contact,11/21/96,Resistance is futile.
Jonah Hex,6/18/10,Revenge gets ugly.
Courage Under Fire,7/4/96,A medal for honor. A search for justice. A battle for truth.
Liar Liar,3/21/97,Trust me.
The Infiltrator,7/13/16,The true story of one man against the biggest drug cartel in history.
Inchon,5/4/81,LOVE. DESTINY. HEROES. War Changes Everything.
The Flintstones,5/26/94,Yabba-Dabba-Doo!
Taken 2,9/27/12,First they took his daughter. Now they're coming for him.
Scary Movie 3,10/24/03,Great trilogies come in threes.
Miss Congeniality,12/14/00,Never Mess With An Agent In A Dress.
Journey to the Center of the Earth,7/10/08,Same Planet. Different World.
The Princess Diaries 2: Royal Engagement,8/6/04,It can take a lifetime to find true love; she's got 30 days!
The Pelican Brief,12/16/93,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.
The Client,7/20/94,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.
The Bucket List,12/25/07,Find the joy.
Patriot Games,6/4/92,Not for honor. Not for country. For his wife and child.
Monster-in-Law,5/13/05,This relationship is going to be a real mother.
Prisoners,9/18/13,Every moment matters.
Training Day,10/5/01,"The only thing more dangerous than the line being crossed, is the cop who will cross it."
Galaxy Quest,12/23/99,A comedy of Galactic Proportions.
Scary Movie 2,7/4/01,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.
The Muppets,11/22/11,They're closer than you think.
Blade,8/21/98,Part Man. Part Vampire. All Hero.
Coach Carter,1/14/05,It begins on the street. It ends here.
Changing Lanes,4/7/02,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,"
Anaconda,4/11/97,When You Can't Breathe You Can't Scream.
Coyote Ugly,7/30/00,This party never ends.
Love Actually,9/7/03,The ultimate romantic comedy.
A Bug's Life,11/25/98,An epic presentation of miniature proportions.
From Hell,10/19/01,Only the legend will survive.
The Specialist,10/7/94,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.
Tin Cup,8/16/96,Golf Pro. Love Amateur.
"Yours, Mine and Ours",4/24/68,Their wedding night set new attendence records
Kicking & Screaming,5/13/05,One man could lead this team to glory. . . That man was busy
The Hitchhiker's Guide to the Galaxy,1/15/05,Don't leave Earth without it.
Fat Albert,12/12/04,
Resident Evil: Extinction,9/20/07,The Extinction Is Coming...
Blended,5/21/14,"Single Dad, No Clue. Single Mum, Flying Solo."
Last Holiday,1/13/06,She always thought she was somebody special... and she was.
The River Wild,9/30/94,The vacation is over
The Indian in the Cupboard,7/14/95,
Savages,7/6/12,Young Beautiful Deadly.
Cellular,9/6/04,If the signal dies so does she
Johnny English,4/6/03,"He knows no fear, he knows no danger, he knows nothing."
The Ant Bully,7/27/06,The battle for the lawn is on.
Dune,12/14/84,"A world beyond your experience, beyond your imagination."
Across the Universe,9/14/07,All you need is love.
Revolutionary Road,12/19/08,How do you break free without breaking apart?
16 Blocks,3/1/06,"For a New York cop and his witness, the distance between life and death just got very short."
Babylon A.D.,8/20/08,Kill or be Killed.
The Glimmer Man,10/4/96,Two good cops. One bad situation.
Multiplicity,7/19/96,"Sometimes to get more out of life, you have to make more of yourself."
Aliens in the Attic,7/31/09,The aliens vs. the Pearsons
The Pledge,1/9/01,
The Producers,12/25/05,
The Phantom,6/6/96,Slam Evil!
All the Pretty Horses,12/11/00,Some passions can never be tamed.
Nixon,12/22/95,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
The Ghost Writer,2/12/10,Read between the lies.
Deep Rising,1/30/98,Full Scream Ahead
Miracle at St. Anna,9/15/08,
Curse of the Golden Flower,12/21/06,Unspeakable secrets are hidden within the Forbidden City.
Bangkok Dangerous,8/21/08,There's only one way out.
Big Trouble,4/5/02,They have forty-five minutes to save the world. They need forty-six.
Love in the Time of Cholera,10/4/07,How long would you wait for love?
Shadow Conspiracy,1/31/97,
Johnny English Reborn,9/15/11,One man. One mission. No chance.
Foodfight!,6/15/12,When good food... goes bad!
Argo,10/11/12,The movie was fake. The mission was real.
The Fugitive,8/6/93,A murdered wife. A one-armed man. An obsessed detective. The chase begins.
The Bounty Hunter,3/16/10,"It's a Job. It Isn't Personal. Well, Maybe a Little..."
Sleepers,10/18/96,When friendship runs deeper than blood.
Rambo: First Blood Part II,5/21/85,"What most people call hell, he calls home."
The Juror,2/2/96,There is no defense.
Pinocchio,2/23/40,For anyone who has ever wished upon a star.
Heaven's Gate,11/19/80,The only thing greater than their passion for America... was their passion for each other.
Underworld: Evolution,1/12/06,"My God. Brother, what have you done?"
Victor Frankenstein,11/10/15,Discover the origin of the monster and his creation.
Finding Forrester,12/21/00,"In an ordinary place, he found the one person to make his life extraordinary."
28 Days,4/6/00,The Life of the Party... before she got a life.
Unleashed,2/2/05,Serve No Master
The Sweetest Thing,4/12/02,A romantic comedy without the sugar.
The Firm,6/30/93,Power can be murder to resist.
Charlie St. Cloud,5/1/10,Life is for living.
The Mechanic,1/13/11,Someone has to fix the problems.
21 Jump Street,3/12/12,They thought the streets were mean. Then they went back to high school.
Notting Hill,5/13/99,Can the most famous film star in the world fall for the man on the street?
Chicken Run,6/21/00,This ain't no chick flick. It's poultry in motion.
Along Came Polly,1/16/04,"For the most cautious man on Earth, life is about to get interesting."
Boomerang,6/30/92,A Player Who's About to be Played.
The Heat,6/27/13,Action's never been so hot!
Cleopatra,6/12/63,The motion picture the world has been waiting for!
Here Comes the Boom,10/11/12,No one will fight for his students like Mr. Voss.
High Crimes,4/3/02,Everything you trust. Everything you know. May be a lie...
The Mirror Has Two Faces,11/15/96,A story about just how wrong two people can be before they can be right.
The Mothman Prophecies,1/25/02,What do you see?
Brüno,7/8/09,Borat was so 2006
Licence to Kill,7/7/89,His bad side is a dangerous place to be.
Red Riding Hood,3/11/11,Who's afraid?
15 Minutes,3/1/01,America Likes to Watch
Super Mario Bros.,5/28/93,This Ain't No Game.
Lord of War,9/16/05,"Where there's a will, there's a weapon"
Hero,12/19/02,One man's strength will unite an empire.
One for the Money,1/26/12,She's looking for a few not-so-good men
The Interview,12/25/14,The Film Hackers Tried To Get Banned
The Warrior's Way,12/2/10,Assassin. Hero. Legend.
Micmacs,10/28/09,Non Stop Madness
8 Mile,11/8/02,Every moment is another chance.
Why I Did (Not) Eat My Father,4/8/15,These feet are made for walkin'
A Knight's Tale,5/11/01,He Will Rock You
The Medallion,8/15/03,
The Sixth Sense,8/6/99,Not every gift is a blessing.
Man on a Ledge,1/13/12,You can only push an innocent man so far
The Big Year,10/13/11,Everyone is searching for something.
The Karate Kid,6/22/84,Only the 'Old One' could teach him the secrets of the masters.
American Hustle,12/12/13,Everyone Hustles To Survive
The Proposal,6/1/09,Here comes the bribe...
Double Jeopardy,9/24/99,Murder isn't always a crime.
Back to the Future Part II,11/20/89,"Roads? Where we're going, we don't need roads!"
Lucy,7/14/14,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.
Fifty Shades of Grey,2/11/15,Are you curious?
Spy Kids 3-D: Game Over,7/25/03,3rd Mission. 3rd Dimension.
A Time to Kill,7/24/96,Experience a time you'll never forget.
Cheaper by the Dozen,12/24/03,Growing pains? They've got twelve of them!
Lone Survivor,12/24/13,Based on True Acts of Courage
A League of Their Own,7/1/92,"To achieve the incredible, you have to attempt the impossible."
The Conjuring 2,5/13/16,The next true story from the case files of Ed and Lorraine Warren
The Social Network,9/30/10,You don't get to 500 million friends without making a few enemies.
He's Just Not That Into You,2/6/09,Are you the exception...or the rule?
Scary Movie 4,4/13/06,Bury the grudge. Burn the village.  See the saw.
Scream 3,2/3/00,Someone has taken their love of trilogies one step too far.
Back to the Future Part III,5/25/90,They've saved the best trip for last... But this time they may have gone too far.
Get Hard,3/26/15,An education in incarceration.
Dracula,11/13/92,Love never dies.
Julie & Julia,8/6/09,Based on Two True Stories
42,4/12/13,The True Story Of An American Legend
The Talented Mr. Ripley,12/25/99,How far would you go to become someone else?
Dumb and Dumber To,11/12/14,The Second Parts Are More Fools
Eight Below,2/17/06,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told."
The Intern,9/24/15,Experience never gets old
Ride Along 2,1/14/16,The brothers-in-law are back
The Last of the Mohicans,9/25/92,The first American hero.
Ray,10/29/04,The extraordinary life story of Ray Charles.
Sin City,4/1/05,Walk down the right back alley in Sin City and you can find anything...
Vantage Point,2/1/08,"8 Strangers, 8 points of view.  1 Truth."
"I Love You, Man",3/20/09,He needed a best man... He got the worst.
Shallow Hal,11/1/01,Are You A Shallow Guy?
JFK,12/20/91,The story that won’t go away.
Big Momma's House 2,1/26/06,The momma of all comedies is back!!!
The Mexican,3/1/01,Love with the safety off.
17 Again,3/11/09,Who says you're only young once?
The Other Woman,4/16/14,The oddest friends are about to get even
The Final Destination,8/26/09,Rest In Pieces
Bridge of Spies,10/15/15,"In the shadow of war, one man showed the world what we stood for."
Behind Enemy Lines,11/17/01,His only weapon is his will to survive.
Get Him to the Greek,6/4/10,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.
Shall We Dance?,10/15/04,Step out of the ordinary
Small Soldiers,7/10/98,"The few, the proud, and the small."
Spawn,7/31/97,Born in darkness. Sworn to justice.
The Count of Monte Cristo,1/23/02,Prepare for adventure. Count on revenge.
The Lincoln Lawyer,3/17/11,This Case is a Dangerous Game of Life and Death
Unknown,2/16/11,Take Back Your Life
The Prestige,10/19/06,Are You Watching Closely?
Horrible Bosses 2,11/26/14,New Crime. Same Tools.
Escape from Planet Earth,2/14/13,Earth's greatest secrets are about to break out!
Apocalypto,12/7/06,No one can outrun their destiny.
The Living Daylights,6/29/87,Licensed to thrill.
Predators,7/3/10,Fear is Reborn
Legal Eagles,6/18/86,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.
Secret Window,3/12/04,The most important part of a story is the ending.
The Lake House,6/16/06,How do you hold on to someone you've never met?
The Skeleton Key,7/29/05,Fearing Is Believing
The Odd Life of Timothy Green,8/15/12,He's a force of nature.
Made of Honor,5/2/08,He'll do anything to get the groom out of the picture.
Jersey Boys,6/5/14,
The Rainmaker,11/18/97,They were totally unqualified to try the case of a lifetime... but every underdog has his day.
Gothika,11/21/03,Because someone is dead doesn't mean they're gone.
Amistad,12/3/97,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.
Medicine Man,2/7/92,He turned his back on civilization. Only to discover he had the power to save it.
Aliens vs Predator: Requiem,12/25/07,The Last Place On Earth We Want To Be Is In The Middle
Ri¢hie Ri¢h,12/19/94,An adventure so big... even the world's richest kid can't afford to miss it!
Autumn in New York,8/11/00,He fell in love for the first time. She fell in love forever.
Music and Lyrics,2/9/07,Share the music with someone you love.
Paul,2/14/11,Who's up for a close encounter?
The Guilt Trip,12/19/12,Get ready for one mother of a road trip
Scream 4,4/11/11,New Decade. New Rules.
8MM,2/26/99,You can't prepare for where the truth will take you.
The Doors,3/1/91,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll"
Sex Tape,7/17/14,A movie about a movie they don't want you to see.
Hanging Up,2/16/00,Every family has a few hang-ups.
Final Destination 5,8/12/11,We all share a common destination.
Mickey Blue Eyes,8/16/99,A romantic comedy you can't refuse
Pay It Forward,10/12/00,"When someone does you a big favor, don't pay it back... Pay It Forward"
Fever Pitch,4/6/05,A Comedy About The Game of Love.
Drillbit Taylor,3/20/08,You get what you pay for
A Million Ways to Die in the West,5/22/14,Bring protection.
The Shadow,7/1/94,The Shadow Knows!
Extremely Loud & Incredibly Close,12/24/11,"This is not a story about September 11th, it's a story about every day after."
Morning Glory,1/12/10,Breakfast TV just got interesting.
Get Rich or Die Tryin',11/9/05,If You Think You Know the Story...You Don't Know the Man.
The Art of War,8/23/00,Who is your foe?
Rent,11/23/05,No day but today.
Bless the Child,8/11/00,Mankind's last hope just turned six.
The Out-of-Towners,4/2/99,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why."
The Island of Dr. Moreau,8/23/96,The gates of hell are unlocked.
The Musketeer,9/7/01,As you've never seen it before.
The Other Boleyn Girl,2/28/08,Two sisters divided for the love of a king.
Sweet November,2/16/01,She Just Needed A Month To Change His Life For Ever.
The Reaping,4/5/07,What Hath God Wrought?
Mean Streets,10/2/73,You don't make up for your sins in church. You do it in the streets...
Renaissance Man,6/3/94,"One Man's Mission To Teach The Few, The Proud... The Impossible!"
Colombiana,7/27/11,Revenge is beautiful.
Quest for Camelot,5/15/98,An evil knight gives nobility a bad name.
City By The Sea,9/6/02,When you're searching for a killer... the last suspect you want to see is your son.
At First Sight,1/15/99,Science gave him sight. She gave him vision.
Torque,1/16/04,Circuit of Fire
City Hall,2/16/96,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
Showgirls,9/22/95,Beyond your wildest dreams. Beyond your wildest fantasies.
Marie Antoinette,5/24/06,Rumor. Scandal. Fame. Revolution.
Kiss of Death,4/21/95,
Get Carter,10/6/00,The Truth Hurts
The Impossible,9/9/12,Nothing is more powerful than the human spirit.
Ishtar,5/15/87,
Fantastic Mr. Fox,10/23/09,Dig the life fantastic!
Life or Something Like It,4/26/02,
Memoirs of an Invisible Man,2/28/92,An adventure like you've never seen.
Amélie,4/25/01,One person can change your life forever.
New York Minute,5/1/04,
Alfie,10/22/04,Meet a man who never met a woman he didn't love.
Big Miracle,2/2/12,A family of whales trapped beneath the ice. One unforgettable rescue.
The Deep End of the Ocean,3/12/99,The search for her son was over. The search for her family was just beginning.
FearDotCom,8/9/02,The last site you'll ever see.
Cirque du Freak: The Vampire's Assistant,10/23/09,Meet Darren. He's sixteen going on immortal.
Duplex,9/26/03,
Soul Men,11/7/08,
Raise the Titanic,1/1/80,They've found the Titanic. There's just one thing left to do...
Universal Soldier: The Return,8/5/99,Prepare to become obsolete
Pandorum,9/8/09,Don't fear the end of the world. Fear what happens next.
Impostor,12/3/01,"In the Future, not everyone is who they seem to be."
Extreme Ops,11/27/02,Fear is a trigger
Just Visiting,4/6/01,"They're not just from another time, they're from France."
Sunshine,4/5/07,"If the sun dies, so do we."
A Thousand Words,3/7/12,He only has 1000 words left to discover what matters the most.
Delgo,12/12/08,
The Gunman,2/16/15,Armed With the Truth.
Stormbreaker,7/21/06,Rule the school. Save the world.
Disturbia,4/12/07,"The quieter the street, the darker the secrets...."
Hackers,9/14/95,"There is no right or wrong, only fun and boring"
The Hunting Party,9/3/07,How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking]
The Hudsucker Proxy,3/11/94,They took him for a fall guy... but he threw them for a hoop.
The Warlords,12/12/07,
Nomad: The Warrior,7/17/05,Courage know no limit
Snowpiercer,8/1/13,"AD 2031, the passengers in the train are the only survivors on Earth."
A Monster in Paris,10/12/11,
The Last Shot,9/24/04,
The Crow,5/11/94,Real love is forever.
Baahubali: The Beginning,7/10/15,
The Time Traveler's Wife,8/14/09,
Because I Said So,2/2/07,"She's just your normal, overprotective, overbearing, over-the-top mother."
Frankenweenie,10/4/12,The electrifying dog is back from beyond the grave
Serenity,8/25/05,Can't stop the signal.
Against the Ropes,2/20/04,
Superman III,6/17/83,If the world's most powerful computer can control even Superman...no one on earth is safe.
Grudge Match,12/25/13,DeNiro vs Stallone
Red Cliff,7/10/08,The future will be decided.
Sweet Home Alabama,9/26/02,Sometimes What You're Looking For Is Right Where You Left It.
The Ugly Truth,7/24/09,The battle of the sexes is on.
Sgt. Bilko,3/29/96,All he ever wanted was an honest week's pay for an honest day's work.
Spy Kids 2: The Island of Lost Dreams,8/7/02,Little Spies. Big Attitudes
Star Trek: Generations,11/17/94,Boldly go.
The Grandmaster,1/8/13,"In Martial Arts there is no right or wrong, only the last man standing."
Water for Elephants,3/15/11,Life is the most spectacular show on earth.
Dragon Nest: Warriors' Dawn,5/20/14,
The Hurricane,9/17/99,His greatest fight was for justice.
Enough,5/24/02,Everyone has a limit.
Heartbreakers,3/23/01,Caution: Dangerous Curves Ahead
Paul Blart: Mall Cop 2,4/16/15,Vegas has a new high roller.
Angel Eyes,5/15/01,"The deeper you look, the more you will find."
Joe Somebody,12/21/01,Someone just picked on the wrong nobody.
The Ninth Gate,8/24/99,Every book has a life of its own.
Extreme Measures,9/27/96,Not all surgery is intended to cure.
Rock Star,9/4/01,The story of a wanna be who got to be.
Precious,11/6/09,Life is hard. Life is short. Life is painful. Life is rich. Life is....Precious.
White Squall,2/2/96,
The Thing,6/25/82,Man is The Warmest Place to Hide.
Riddick,9/2/13,Survival Is His Revenge
Switchback,10/31/97,The hunter becomes the hunted.
Texas Rangers,11/30/01,
City of Ember,10/7/08,Escape is the only option
The Master,9/7/12,Every Man Needs a Guide
Virgin Territory,12/17/07,Anything Can Happen When You're In ... Virgin Territory
The Express,10/10/08,He changed our country... one yard at a time.
The 5th Wave,1/14/16,Protect Your Own
Creed,11/25/15,Your legacy is more than a name
The Town,9/15/10,Welcome to the bank robbery capital of America.
What to Expect When You're Expecting,5/17/12,It's too late to pull out now.
Burn After Reading,9/5/08,Intelligence is relative.
Nim's Island,4/3/08,Your adventure starts here.
Rush,9/2/13,Everyone's driven by something.
Magnolia,12/8/99,"Things fall down. People look up. And when it rains, it pours."
Cop Out,2/26/10,Rock out with your Glock out
How to Be Single,1/21/16,Welcome to the party
Dolphin Tale,9/23/11,Inspired by the amazing true story of Winter.
Twilight,11/20/08,"When you can live forever, what do you live for?"
John Q,2/15/02,Give a father no options and you leave him no choice.
Blue Streak,9/17/99,He's A Cop That's Not.
We're the Millers,8/7/13,#NAME?
The Inhabited Island,12/18/08,
Breakdown,5/2/97,It could happen to you.
Never Say Never Again,10/7/83,Sean Connery is James Bond 007
Hot Tub Time Machine,3/26/10,Kick some past
Dolphin Tale 2,9/12/14,WINTER's amazing true story... now has HOPE.
Reindeer Games,2/25/00,The trap is set. The game is on.
A Man Apart,4/4/03,Love changes a man. Revenge tears him apart.
Aloha,5/27/15,Sometimes you have to say goodbye before you can say hello.
Ghosts of Mississippi,12/20/96,From the director of A FEW GOOD MEN comes a compelling TRUE STORY.
Snow Falling on Cedars,12/22/99,From the director of 'Shine'
The Rite,1/28/11,You can only defeat it when you believe.
Gattaca,9/7/97,There is no gene for the human spirit.
Isn't She Great,1/28/00,Talent Isn't Everything...
Space Chimps,7/17/08,"Houston, we have a problem!"
Head of State,1/1/03,
The Hangover,6/5/09,Some guys just can't handle Vegas.
Ip Man 3,12/19/15,
Austin Powers: The Spy Who Shagged Me,6/8/99,"I'm back, baby!"
Batman,6/23/89,Have you ever danced with the devil in the pale moonlight?
There Be Dragons,3/25/11,
Lethal Weapon 3,5/15/92,The magic is back again!
The Blind Side,11/20/09,Based on the extraordinary true story
Spy Kids,3/18/01,Real spies...only smaller
Horrible Bosses,7/8/11,Ever wish your boss was dead?
True Grit,12/22/10,Punishment Comes One Way or Another.
The Devil Wears Prada,6/30/06,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.
Star Trek: The Motion Picture,12/6/79,The human adventure is just beginning.
Identity Thief,2/7/13,She's having the time of his life
Cape Fear,11/15/91,There is nothing in the dark that isn't there in the light. Except fear.
21,3/27/08,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.
Trainwreck,7/17/15,We All Know One.
Guess Who,3/25/05,His house. His rules. Some in-laws were made to be broken.
The English Patient,11/14/96,"In love, there are no boundaries."
L.A. Confidential,9/19/97,Everything is suspect... Everyone is for sale... And nothing is what it seems.
Sky High,7/29/05,Saving The World... One Homework Assignment At A Time.
In & Out,9/10/97,An out-and-out comedy.
Species,7/7/95,Our time is up.
A Nightmare on Elm Street,11/14/84,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!"
The Cell,8/17/00,Enter The Mind Of A Killer
The Man in the Iron Mask,3/12/98,For the honor of a king. And the destiny of a country. All for one.
Secretariat,8/20/10,The Impossible True Story
TMNT,3/23/07,
Radio,10/24/03,His courage made them champions.
Friends with Benefits,7/21/11,Some friends come with a happy ending.
Neighbors 2: Sorority Rising,5/4/16,New neighbors.
Saving Mr. Banks,11/16/13,"Where her book ended, their story began."
Malcolm X,11/18/92,
This Is 40,12/20/12,The sort-of sequel to 'Knocked Up'
Old Dogs,11/24/09,Life is Not Child-Proof.
Underworld: Rise of the Lycans,1/22/09,Every war has a beginning.
License to Wed,7/4/07,First came love... then came Reverend Frank.
The Benchwarmers,4/7/06,Get off the bench and get into the game.
Must Love Dogs,7/21/05,
Donnie Brasco,2/27/97,Based on a true story.
Resident Evil,3/15/02,A secret experiment. A deadly virus. A fatal mistake.
Poltergeist,6/4/82,They're here.
The Ladykillers,3/25/04,The greatest criminal minds of all time have finally met their match.
Max Payne,10/15/08,When a Man Has Lost Everything. He Only has Revenge
In Time,10/27/11,Time Is Power
The Back-Up Plan,4/23/10,"Fall in love, get married, have a baby. Not necessarily in that order."
Something Borrowed,5/5/11,It's a thin line between love and friendship.
Black Knight,11/21/01,It's only a flesh wound!
The Bad News Bears,4/7/76,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.
Street Fighter,12/22/94,The fight to save the world is on!
The Pianist,9/24/02,Music was his passion. Survival was his masterpiece.
The Nativity Story,12/1/06,Her child would change the world.
House of Wax,4/30/05,Prey. Slay. Display
Closer,12/1/04,"If you believe in love at first sight, you never stop looking."
J. Edgar,11/9/11,The most powerful man in the world.
Mirrors,8/15/08,There is evil...On the other side.
Queen of the Damned,2/10/02,This time there are no interviews.
Predator 2,11/20/90,Silent. Invisible. Invincible. He's in town with a few days to kill.
Untraceable,1/22/08,A cyber killer has finally found the perfect accomplice: You.
Blast from the Past,2/12/99,She'd never met anyone like him. He's never met anyone... Period.
Flash Gordon,9/1/80,He'll save every one of us!
Jersey Girl,3/25/04,He wanted it all...but he got more than he bargained for.
Alex Cross,10/18/12,Don't Ever Cross Alex Cross
Midnight in the Garden of Good and Evil,11/21/97,
Heist,11/13/15,Never make a bet you can't afford to lose.
Nanny McPhee and the Big Bang,3/26/10,You'll Believe That Pigs Can Fly!
Hoffa,12/25/92,
The X Files: I Want to Believe,7/24/08,"To find the truth, you must believe."
Ella Enchanted,4/9/04,Get enchanted
Concussion,11/12/15,Even Legends Need a Hero
Abduction,9/22/11,They stole his life. He's taking it back.
Valiant,3/25/05,"Some pigeons eat crumbs, others make history."
Wonder Boys,2/22/00,Undependable. Unpredictable. Unforgettable.
Superhero Movie,3/27/08,The greatest Superhero movie of all time! (not counting all the others)
Broken City,1/18/13,Proof Can Be a Powerful Weapon.
Cursed,2/25/05,What doesn't kill you makes you stronger.
Premium Rush,8/24/12,Ride Like Hell
Hot Pursuit,5/8/15,Armed and Sort-of Dangerous.
The Four Feathers,9/8/02,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves."
Parker,1/23/13,"To get away clean, you have to play dirty."
Wimbledon,9/13/04,She's the golden girl. He's the longshot. It's a match made in...
Furry Vengeance,4/2/10,He came. He saw. They conquered.
Bait,9/5/12,Cleanup on aisle 7.
Krull,7/29/83,A world light-years beyond your imagination.
Lions for Lambs,10/22/07,"If you don't STAND for something, you might FALL for anything."
Flight of the Intruder,1/18/91,The only thing they can count on is each other.
Walk Hard: The Dewey Cox Story,12/21/07,Life made him tough. Love made him strong. Music made him hard.
The Shipping News,12/18/01,You'll never guess what you'll find inside...
American Outlaws,8/17/01,Sometimes the wrong side of the law is the right place to be.
The Young Victoria,3/4/09,Love rules all.
Whiteout,9/9/09,See Your Last Breath
The Tree of Life,5/18/11,Nothing stands still.
Knock Off,9/4/98,There is no substitute.
Sabotage,3/28/14,Leave no loose ends
The Order,9/5/03,Every soul has its price.
Punisher: War Zone,12/5/08,Vengeance has a name
Zoom,8/11/06,They're going to save the world... as long as they're home for dinner.
The Walk,9/30/15,Dream High.
Warriors of Virtue,5/2/97,In a world beyond your imagination a battle for the universe has begun.
A Good Year,9/9/06,Everything matures... eventually.
Radio Flyer,2/21/92,Powered by imagination.
Bound by Honor,2/5/93,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.
Smilla's Sense of Snow,2/13/97,Some Tracks Should Never Be Uncovered.
Femme Fatale,11/6/02,Nothing is more desirable or more deadly than a woman with a secret.
Lion of the Desert,4/17/81,He was a man of honor in a war without any.
The Horseman on the Roof,9/20/95,
Ride with the Devil,11/24/99,"In a No-man's Land between North and South, You didn't fight for the Blue or the Grey... You fought for your friends and family."
Biutiful,10/20/10,"You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse."
Bandidas,1/18/06,Being BAD never looked so GOOD!
Black Water Transit,5/13/09,
The Maze Runner,9/10/14,Run - Remember - Survive
Unfinished Business,3/5/15,Best business trip ever.
The Age of Innocence,9/17/93,In a world of tradition. In an age of innocence. They dared to break the rules.
The Fountain,9/6/06,Death is the road to awe
Chill Factor,9/1/99,"This Fall, Action is served on the rocks, with a twist."
Stolen,5/17/12,Never steal from the world's greatest thief.
Ponyo,7/19/08,Welcome To A World Where Anything Is Possible.
The Longest Ride,4/9/15,Two couples. Two love stories. One epic tale.
The Astronaut's Wife,8/26/99,How well do you know the one you love?
I Dreamed of Africa,5/5/00,Sometimes the adventure of a lifetime becomes life itself.
Playing for Keeps,11/29/12,
Mandela: Long Walk to Freedom,12/6/13,It is an ideal for which I am prepared to die.
Reds,12/25/81,Not since Gone With The Wind has there been a great romantic epic like it!
A Few Good Men,12/11/92,
Exit Wounds,3/13/01,This Is Gonna Hurt
Big Momma's House,5/31/00,This FBI agent is going undercover... and he's concealing more than a weapon.
Thunder and the House of Magic,12/24/13,One lost little cat. One magical adventure.
The Darkest Hour,12/22/11,Survive The Holidays
Step Up Revolution,7/26/12,One Step Can Change Your World
Snakes on a Plane,8/6/06,"At 30,000 feet, snakes aren't the deadliest thing on this plane."
The Watcher,9/8/00,Don't go home alone.
The Punisher,4/15/04,"There is no justice, there is only revenge."
Goal!: The Dream Begins,6/6/05,Every Dream Has A Beginning
Safe,4/16/12,She has the code. He is the key.
Pushing Tin,4/23/99,A comedy about losing control
Return of the Jedi,5/23/83,The Empire Falls...
Doomsday,3/14/08,Mankind has an expiration date.
The Reader,12/10/08,Behind the mystery lies a truth that will make you question everything you know.
Wanderlust,2/23/12,Leave your baggage behind
Elf,10/9/03,"This holiday, discover your inner elf."
Phenomenon,7/5/96,Some things in life just can't be explained.
Snow Dogs,1/18/02,Get ready for mush hour!
Scrooged,11/22/88,The spirits will move you in odd and hysterical ways.
Nacho Libre,6/16/06,He's not lean. He's not mean. He's nacho average hero.
Bridesmaids,4/28/11,Save the date
This Is the End,6/12/13,Nothing ruins a party like the end of the world.
Stigmata,9/10/99,The messenger must be silenced.
Men of Honor,9/13/00,History is made by those who break the rules.
Takers,8/26/10,Who's Taking Who?
